Date,Locality,Sample,Equipment,Max.Depth,Mim.Depth,StartLat,StartLong,EndLat,EndLong,Duration
11/22/11,21,65,Van Veen Grab,9.4488,NA,34.6916,-76.6391833333333,NA,NA,NA
11/22/11,21,66,Basket,9.144,4.572,34.69203333,-76.6376,34.68965,-76.6352166666667,10
11/22/11,21,67,Sled,7.3152,4.2672,34.69043333,-76.6364833333333,34.68798333,-76.63235,10
5/18/12,21,80,Van Veen Grab,6.4008,NA,34.69306667,-76.6375833333333,NA,NA,NA
5/18/12,21,81,Sled,8.8392,7.9248,34.69213333,-76.6357,34.69145,-76.6371166666667,5
5/18/12,21,82,Basket,8.8392,7.3152,34.69145,-76.63795,34.69203333,-76.6376,5
11/22/11,22,68,Van Veen Grab,NA,NA,NA,-NA,NA,NA,NA
11/22/11,22,69,Van Veen Grab,5.1816,NA,34.68955,-76.5633,NA,NA,NA
11/22/11,22,70,Basket,5.1816,3.9624,34.68935,-76.5624333333333,34.68811667,-76.5569,10
11/22/11,22,71,Sled,5.4864,3.9624,34.6883,-76.56025,34.69068333,-76.5735166666667,10
5/18/12,22,85,Van Veen Grab,5.4864,NA,34.68956667,-76.5628166666667,NA,NA,NA
5/18/12,22,86,Basket,3.6576,3.6576,NA,-NA,34.69375,-76.5885833333333,5
5/18/12,22,87,Sled,5.4864,5.4864,34.68956667,-76.5628166666667,34.68903333,-76.5673666666667,5
5/20/12,23,137,Sled,16.1544,15.5448,34.67291667,-76.7265166666667,34.67358333,-76.7311166666667,5
5/20/12,23,138,Van Veen Grab,15.8496,NA,34.6727,-76.7238166666667,NA,NA,NA
5/20/12,23,139,Sled,15.8496,15.5448,34.67393333,-76.7306666666667,34.67323333,-76.7260333333333,8
5/20/12,24,112,Van Veen Grab,15.5448,NA,34.66258333,-76.6727,NA,NA,NA
5/20/12,24,113,Sled,14.9352,16.4592,34.66056667,-76.6728833333333,34.65706667,-76.6731833333333,5
5/20/12,24,124,Basket,15.24,14.9352,34.66103333,-76.6764666666667,34.65733333,-76.6734666666667,5
5/20/12,25,114,Van Veen Grab,16.1544,NA,34.64325,-76.6773666666667,NA,NA,NA
5/20/12,25,117,Basket,16.1544,15.5448,34.64471667,-76.6780833333333,34.64031667,-76.6783333333333,5
5/20/12,25,122,Sled,16.764,16.1544,34.64133333,-76.6778833333333,34.63666667,-76.6784,5
5/20/12,26,115,Van Veen Grab,16.764,NA,34.62641667,-76.6811333333333,NA,NA,NA
5/20/12,26,118,Sled,17.3736,16.764,34.62413333,-76.6819833333333,34.62046667,-76.682,5
5/20/12,26,119,Sled,17.0688,16.764,34.62628333,-76.6814666666667,34.62296667,-76.6816333333333,5
5/20/12,27,116,Van Veen Grab,17.9832,NA,34.60896667,-76.6852833333333,NA,NA,NA
5/20/12,27,120,Sled,17.9832,17.6784,34.60526667,-76.6856333333333,34.6023,-76.6858833333333,5
5/20/12,27,121,Sled,17.6784,17.3736,34.60806667,-76.6866666666667,34.60443333,-76.6860833333333,5
5/20/12,28,123,Van Veen Grab,18.288,NA,34.59005,-76.68885,NA,NA,NA
5/20/12,28,125,Sled,18.288,17.9832,34.58748333,-76.6893833333333,34.5851,-76.6902166666667,5
5/20/12,28,126,Sled,18.5928,17.9832,34.58926667,-76.6897166666667,34.58693333,-76.6908833333333,5
